AnimalName,animalclass,animalbreed,animalcolour,animalgender,animaldesexed,suburb_name
MADISON,Non-Standard - Not desexed/microchipped,Maltese,Unknown,F,Y,NORTH HAVEN
Casey,Standard - Both desexed & microchipped,Border Collie,Black,M,Y,NORTH HAVEN
Harald Hardrada,Non-Standard - Not desexed/microchipped,Norwegian Elkhound,Grey,M,N,NORTH HAVEN
Murphy,Standard - Both desexed & microchipped,Labrador Retriever,Black,M,Y,NORTH HAVEN
Ziggy,Standard - Both desexed & microchipped,Labrador Retriever,Gold,F,Y,NORTH HAVEN
Benji,Standard - Pension,Maltese,White,M,Y,NORTH HAVEN
Mojo,Non-Standard - Not desexed/microchipped,Shih Tzu,White,M,N,NORTH HAVEN
Kaiser,Standard - Both desexed & microchipped,German Shepherd Dog (Long Stock Coat),Black,M,Y,NORTH HAVEN
Ceasar,Non-Standard - Not desexed/microchipped,German Shepherd Dog,Black,M,N,NORTH HAVEN
Toby,Standard - Both desexed & microchipped,Labrador Retriever,Chocolate,M,Y,NORTH HAVEN
Diesel,Standard - Both desexed & microchipped,Labrador Retriever,Black,M,Y,NORTH HAVEN
Sugar,Standard - Both desexed & microchipped,German Shepherd Dog,Black,F,Y,NORTH HAVEN
Molly,Standard - Both desexed & microchipped,Pug,Tan,F,Y,NORTH HAVEN
Rusty,Standard - Both desexed & microchipped,Australian Kelpie,Tan,M,Y,NORTH HAVEN
Mia,Standard - Pension,Jack Russell Terrier,White,F,Y,NORTH HAVEN
Sasha,Standard - Both desexed & microchipped,American Staffordshire Terrier,Brown,F,Y,NORTH HAVEN
Alby,Standard - Both desexed & microchipped,Border Collie,Black,M,Y,NORTH HAVEN
Cooper,Non-Standard - Not desexed/microchipped,Jack Russell Terrier,Tan,M,N,NORTH HAVEN
Leo,Non-Standard - Not desexed/microchipped,Australian Cattle Dog,Tan,M,Y,NORTH HAVEN
Hugh,Standard - Both desexed & microchipped,Pug,Tan,M,Y,NORTH HAVEN
Buster,Standard - Both desexed & microchipped,Jack Russell Terrier,White,M,Y,NORTH HAVEN
Keenan,Standard - Both desexed & microchipped,Maltese,White,M,Y,NORTH HAVEN
Jet,Standard - Both desexed & microchipped,Siberian Husky,Unknown,M,Y,NORTH HAVEN
Maisie,Standard - Both desexed & microchipped,Jack Russell Terrier,Tan,F,Y,NORTH HAVEN
Max,Standard - Both desexed & microchipped,German Shepherd Dog,Black,M,Y,NORTH HAVEN
Charlie,Standard - Both desexed & microchipped,Spaniel,Tri Colour,M,Y,NORTH HAVEN
Harry Finlay,Standard - Both desexed & microchipped,Poodle (Toy),Black,M,Y,NORTH HAVEN
Chia,Non-Standard - Not desexed/microchipped,Maltese,Wheaten,F,Y,NORTH HAVEN
Mackenzie,Standard - Both desexed & microchipped,Scottish Terrier,Dark Brindle,F,Y,NORTH HAVEN
Indie,Standard - Both desexed & microchipped,Dogue de Bordeaux,Red,F,Y,NORTH HAVEN
Willow,Standard - Both desexed & microchipped,Neapolitan Mastiff,Blue,F,Y,NORTH HAVEN
Charlie,Standard - Both desexed & microchipped,Shih Tzu,Sable,M,Y,NORTH HAVEN
Harlee,Standard - Both desexed & microchipped,Beagle,Tri Colour,M,Y,NORTH HAVEN
Maya,Non-Standard - Not desexed/microchipped,German Shepherd Dog,Tri Colour,F,N,NORTH HAVEN
Ollie,Non-Standard - Not desexed/microchipped,Golden Retriever,Gold,M,N,NORTH HAVEN
Sophie,Standard - Both desexed & microchipped,Chihuahua,Brown,F,Y,NORTH HAVEN
Boaky,Non-Standard - Not desexed/microchipped,Golden Retriever,Gold,M,N,NORTH HAVEN
Charlie,Standard - Both desexed & microchipped,Staffordshire Bull Terrier,Brown,M,Y,NORTH HAVEN
Lalus,Standard - Both desexed & microchipped,Chihuahua,Black,F,Y,NORTH HAVEN
Libbi,Non-Standard - Not desexed/microchipped,Chihuahua,Tri Colour,M,N,NORTH HAVEN
Bobby,Standard - Pension,Shih Tzu,White,M,Y,NORTH HAVEN
Saoirse,Non-Standard - Not desexed/microchipped,Poodle (Toy),Gold,F,N,NORTH HAVEN
Josie,Standard - Concession,American Staffordshire Terrier,Chocolate,F,Y,NORTH HAVEN
Tifty,Non-Standard - Not desexed/microchipped,Labrador Retriever,Gold,M,Y,NORTH HAVEN
Rex,Non-Standard - Concession,American Staffordshire Terrier,White,M,N,NORTH HAVEN
Benji,Standard - Pension,Bichon Frise,White,M,Y,NORTH HAVEN
Will,Standard - Both desexed & microchipped,Greyhound,Brindle,M,Y,NORTH HAVEN
Mack,Standard - Both desexed & microchipped,Greyhound,Black,M,Y,NORTH HAVEN
Holly,Standard - Both desexed & microchipped,West Highland White Terrier,White,F,Y,NORTH HAVEN
TESSA,Non-Standard - Pension,Jack Russell Terrier,Tan,F,Y,NORTH HAVEN
Archie,Standard - Both desexed & microchipped,Beagle,Red,M,Y,NORTH HAVEN
Ralph,Standard - Both desexed & microchipped,Poodle (Toy),Gold,M,Y,NORTH HAVEN
Dexter,Standard - Both desexed & microchipped,Poodle (Toy),Apricot,M,Y,NORTH HAVEN
Buddy,Standard - Both desexed & microchipped,Border Collie,White,M,Y,NORTH HAVEN
Ruby,Standard - Pension,Jack Russell Terrier,White,F,Y,NORTH HAVEN
Wilson,Non-Standard - Not desexed/microchipped,Golden Retriever,Cream,M,N,NORTH HAVEN
Bella,Standard - Both desexed & microchipped,Labrador Retriever,Gold,F,Y,NORTH HAVEN
Merlin,Standard - Both desexed & microchipped,Cavalier King Charles Spaniel,Ruby,M,Y,NORTH HAVEN
Jasper,Standard - Both desexed & microchipped,Labrador Retriever,Black,M,Y,NORTH HAVEN
Snoopy,Standard - Pension,Beagle,Tri Colour,M,Y,NORTH HAVEN
Buster,Standard - Both desexed & microchipped,Maltese,White,M,Y,NORTH HAVEN
Kesha,Non-Standard - Concession,American Staffordshire Terrier,Tan,F,N,NORTH HAVEN
molly,Standard - Both desexed & microchipped,Labrador Retriever,Gold,F,Y,NORTH HAVEN
Pearl,Non-Standard - Not desexed/microchipped,Maltese,White,F,N,NORTH HAVEN
Tatsumi,Standard - Pension,Shiba Inu,Red,M,Y,NORTH HAVEN
Cilla,Standard - Both desexed & microchipped,Greyhound,Black,F,Y,NORTH HAVEN
Zuma,Standard - Both desexed & microchipped,Schnauzer,Black,M,Y,NORTH HAVEN
Bundy,Standard - Pension,West Highland White Terrier,White,F,Y,NORTH HAVEN
Zahra,Standard - Pension,West Highland White Terrier,White,F,Y,NORTH HAVEN
Chelsea,Standard - Both desexed & microchipped,Schnauzer,Salt,F,Y,NORTH HAVEN
Maximus,Standard - Pension,Italian Greyhound,Fawn,M,Y,NORTH HAVEN
Vincenzo,Standard - Pension,Italian Greyhound,White,M,Y,NORTH HAVEN
Sally,Standard - Pension,Jack Russell Terrier,Tri Colour,F,Y,NORTH HAVEN
SYD,Standard - Both desexed & microchipped,Manchester Terrier,Black,M,Y,NORTH HAVEN
Archie,Standard - Both desexed & microchipped,Staffordshire Bull Terrier,Blue,M,Y,NORTH HAVEN
Rex,Standard - Both desexed & microchipped,Staffordshire Bull Terrier,White,M,Y,NORTH HAVEN
Harpa,Standard - Both desexed & microchipped,German Shepherd Dog (Long Stock Coat),Tan,M,Y,NORTH HAVEN
Jasper,Non-Standard - Not desexed/microchipped,Belgian Shepherd Dog (Malinois),White,M,N,NORTH HAVEN
Poochi,Non-Standard - Not desexed/microchipped,Maltese,Black,M,N,NORTH HAVEN
Cooper,Standard - Both desexed & microchipped,Jack Russell Terrier,Tan,M,Y,NORTH HAVEN
Toby,Standard - Both desexed & microchipped,Shih Tzu,Fawn,M,Y,NORTH HAVEN
Jake,Non-Standard - Not desexed/microchipped,Staffordshire Bull Terrier,Black,M,N,NORTH HAVEN
Ruby,Standard - Both desexed & microchipped,Australian Kelpie,Red,F,Y,NORTH HAVEN
Ted,Non-Standard - Concession,Australian Kelpie,Red,M,N,NORTH HAVEN
Harley,Standard - Both desexed & microchipped,Cavalier King Charles Spaniel,White,M,Y,NORTH HAVEN
Shadow,Standard - Both desexed & microchipped,American Staffordshire Terrier,Brindle,M,Y,NORTH HAVEN
Ozzie,Standard - Both desexed & microchipped,Australian Kelpie,Brown,M,Y,NORTH HAVEN
Sooty,Non-Standard - Not desexed/microchipped,Labrador Retriever,Black,F,N,NORTH HAVEN
Nelson,Standard - Both desexed & microchipped,Jack Russell Terrier,White,M,Y,NORTH HAVEN
Mad Max,Standard - Both desexed & microchipped,Australian Silky Terrier,White,M,Y,NORTH HAVEN
Dexter,Standard - Both desexed & microchipped,Poodle (Toy),Chocolate,M,Y,NORTH HAVEN
Gracie,Non-Standard - Not desexed/microchipped,Poodle (Toy),Chocolate,F,N,NORTH HAVEN
Cody,Standard - Both desexed & microchipped,Cavalier King Charles Spaniel,Tan,M,Y,NORTH HAVEN
Nala,Standard - Both desexed & microchipped,Chihuahua,Tan,F,Y,NORTH HAVEN
Zuko,Standard - Both desexed & microchipped,Siberian Husky,Brown,M,Y,NORTH HAVEN
Shiva,Non-Standard - Not desexed/microchipped,Shar Pei,Tan,M,Y,NORTH HAVEN
Harper,Standard - Both desexed & microchipped,Rhodesian Ridgeback,Brown,F,Y,NORTH HAVEN
Albey,Standard - Both desexed & microchipped,Jack Russell Terrier,White,M,Y,NORTH HAVEN
Rosie,AWL/RSPCA 1st Free,Staffordshire Bull Terrier,Blue,F,Y,NORTH HAVEN
Bobby,Standard - Concession,Maltese,White,M,Y,NORTH HAVEN
Trixie,Standard - Concession,Belgian Shepherd Dog (Malinois),Tan,F,Y,NORTH HAVEN
Albert,Standard - Both desexed & microchipped,Chihuahua,Tri Colour,M,Y,NORTH HAVEN
Star,Non-Standard - Not desexed/microchipped,Chihuahua,Black,F,N,NORTH HAVEN
Molly,Standard - Both desexed & microchipped,Schnauzer,Black,F,Y,NORTH HAVEN
Roy,Non-Standard - Not desexed/microchipped,Keeshond,Black,M,Y,NORTH HAVEN
Holly,Standard - Both desexed & microchipped,American Staffordshire Terrier,White,F,Y,NORTH HAVEN
Millie,Standard - Both desexed & microchipped,Jack Russell Terrier,White,F,Y,NORTH HAVEN
J.D (jack),Standard - Pension,Maltese,Tan,M,Y,NORTH HAVEN
Prince Albert,Standard - Pension,Pekingese,Fawn,M,Y,NORTH HAVEN
Onyx,Standard - Both desexed & microchipped,Boxer,White,F,Y,NORTH HAVEN
 Rocky,Standard - Both desexed & microchipped,Staffordshire Bull Terrier,Dark Brindle,M,Y,NORTH HAVEN
Buddy,Standard - Both desexed & microchipped,German Shepherd Dog,Black,M,Y,NORTH HAVEN
Raine,Standard - Both desexed & microchipped,Belgian Shepherd,Black,F,Y,NORTH HAVEN
Kaos,Standard - Both desexed & microchipped,Labrador Retriever,Black,M,Y,NORTH HAVEN
Dora,Standard - Both desexed & microchipped,Pug,Tan,F,Y,NORTH HAVEN
Chester,Non-Standard - Not desexed/microchipped,Terrier,Black,M,Y,NORTH HAVEN
Ollie,Standard - Both desexed & microchipped,Pomeranian,Brown,M,Y,NORTH HAVEN
Kimba,Standard - Both desexed & microchipped,Rhodesian Ridgeback,Brown,F,Y,NORTH HAVEN
Toby,Standard - Concession,Poodle (Toy),Champagne,M,Y,NORTH HAVEN
Zoe,Standard - Concession,Jack Russell Terrier,Black,F,Y,NORTH HAVEN
Marlee,Non-Standard - Not desexed/microchipped,Siberian Husky,Grey,F,Y,NORTH HAVEN
Ischa,Non-Standard - Not desexed/microchipped,Australian Kelpie,Black,F,Y,NORTH HAVEN
Chino,Non-Standard - Not desexed/microchipped,Australian Kelpie,Fawn,M,N,NORTH HAVEN
Sam,Standard - Pension,Maltese,Caramel,M,Y,NORTH HAVEN
Ribs,Standard - Both desexed & microchipped,Staffordshire Bull Terrier,Dark Brindle,M,Y,NORTH HAVEN
Cissie,Standard - Both desexed & microchipped,Australian Cattle Dog,Red,F,Y,NORTH HAVEN
Fiona,Standard - Both desexed & microchipped,Maltese,White,F,Y,NORTH HAVEN
Nitro,Standard - Both desexed & microchipped,Poodle (Toy),Black,M,Y,NORTH HAVEN
Roxy,Standard - Both desexed & microchipped,Maltese,White,F,Y,NORTH HAVEN
Hugo (The Boss),Non-Standard - Not desexed/microchipped,Staffordshire Bull Terrier,Blue,M,N,NORTH HAVEN
Tex,Standard - Both desexed & microchipped,German Shepherd Dog,Brindle,M,Y,NORTH HAVEN
Ellie,Standard - Both desexed & microchipped,Australian Kelpie,Tri Colour,F,Y,NORTH HAVEN
Jesse,Non-Standard - Not desexed/microchipped,Staffordshire Bull Terrier,Black,F,Y,NORTH HAVEN
Marley,Standard - Both desexed & microchipped,American Staffordshire Terrier,Blue,F,Y,NORTH HAVEN
Maggie,Standard - Both desexed & microchipped,Maltese,White,F,Y,NORTH HAVEN
Asher,Standard - Both desexed & microchipped,Maltese,Black,F,Y,NORTH HAVEN
Pippa,Standard - Both desexed & microchipped,Labrador Retriever,Black,F,Y,NORTH HAVEN
Indy,Standard - Both desexed & microchipped,Labrador Retriever,Gold,F,Y,NORTH HAVEN
Chocko,Standard - Pension,Poodle (Toy),Black,M,Y,NORTH HAVEN
Syla,Standard - Both desexed & microchipped,Maltese,White,M,Y,NORTH HAVEN
Juno,Standard - Both desexed & microchipped,German Shepherd Dog,Brown,F,Y,NORTH HAVEN
Bella,Standard - Both desexed & microchipped,Pomeranian,Tan,F,Y,NORTH HAVEN
Tinkerbell,Standard - Both desexed & microchipped,Chihuahua,Tan,F,Y,NORTH HAVEN
Flossie,Non-Standard - Not desexed/microchipped,Maltese,White,F,N,NORTH HAVEN
Chewy,Standard - Both desexed & microchipped,Maltese,White,M,Y,NORTH HAVEN
Charlie,Standard - Both desexed & microchipped,Golden Retriever,Gold,M,Y,NORTH HAVEN
Toby,Standard - Both desexed & microchipped,Border Collie,Black,M,Y,NORTH HAVEN
Ruby,Standard - Both desexed & microchipped,Golden Retriever,Gold,F,Y,NORTH HAVEN
Amber,Standard - Both desexed & microchipped,Labrador Retriever,Gold,F,Y,NORTH HAVEN
Indigo,Standard - Both desexed & microchipped,Labrador Retriever,Chocolate,F,Y,NORTH HAVEN
Rocky,Non-Standard - Not desexed/microchipped,Jack Russell Terrier,Black,M,Y,NORTH HAVEN
Jack,Standard - Pension,Australian Cattle Dog,Red,M,Y,NORTH HAVEN
Jet,Standard - Pension,Terrier,Tan,M,Y,NORTH HAVEN
Mollie,Standard - Both desexed & microchipped,Boxer,Red,F,Y,NORTH HAVEN
Toby,Non-Standard - Not desexed/microchipped,Beagle,Tri Colour,M,N,NORTH HAVEN
McKenzie,Non-Standard - Not desexed/microchipped,Beagle,Tan,F,N,NORTH HAVEN
Jack,Standard - Both desexed & microchipped,Golden Retriever,Gold,M,Y,NORTH HAVEN
Alfie,Standard - Both desexed & microchipped,Border Collie,Black,M,Y,NORTH HAVEN
Kiana,Standard - Pension,Alaskan Malamute,Sable,F,Y,NORTH HAVEN
Togo,Standard - Pension,Alaskan Malamute,Sable,M,Y,NORTH HAVEN
Kaiser,Standard - Both desexed & microchipped,German Shepherd Dog,Black,M,Y,NORTH HAVEN
Biggles,Standard - Both desexed & microchipped,Maltese,Salt,M,Y,NORTH HAVEN
tAMMY,Standard - Both desexed & microchipped,Yorkshire Terrier,Tan,F,Y,NORTH HAVEN
Cougar,Standard - Both desexed & microchipped,Bull Terrier,Tan,F,Y,NORTH HAVEN
Elsa,Non-Standard - Pension,Curly Coated Retriever,Chocolate,F,Y,NORTH HAVEN
Charlie,Non-Standard - Not desexed/microchipped,Australian Shepherd,Black,M,N,NORTH HAVEN
Harvey,Non-Standard - Not desexed/microchipped,Labrador Retriever,Black,M,N,NORTH HAVEN
Betzy,Non-Standard - Not desexed/microchipped,Beagle,White,F,N,NORTH HAVEN
Ryda,Standard - Both desexed & microchipped,Staffordshire Bull Terrier,Blue,F,Y,NORTH HAVEN
Lola,Standard - Both desexed & microchipped,Chihuahua,Cream,F,Y,NORTH HAVEN
Brisco,Standard - Both desexed & microchipped,Jack Russell Terrier,White,M,Y,NORTH HAVEN
Gummy,Standard - Both desexed & microchipped,Shih Tzu,White,M,Y,NORTH HAVEN
RONNIE,Standard - Both desexed & microchipped,Chihuahua,Cream,M,Y,NORTH HAVEN
Jess,Standard - Both desexed & microchipped,Border Collie,Brown,F,Y,NORTH HAVEN
Maisie,Standard - Both desexed & microchipped,Border Collie,Chocolate,F,Y,NORTH HAVEN
Obi,Standard - Both desexed & microchipped,Labrador Retriever,Black,M,Y,NORTH HAVEN
ginger,Standard - Both desexed & microchipped,Staffordshire Bull Terrier,Unknown,F,Y,NORTH HAVEN
Otis,Standard - Pension,Cavalier King Charles Spaniel,Tan,M,Y,NORTH HAVEN
Theo,Standard - Both desexed & microchipped,Poodle (Toy),Cream,M,Y,NORTH HAVEN
Bella,Non-Standard - Not desexed/microchipped,American Staffordshire Terrier,Tan,F,N,NORTH HAVEN
Blaze,Standard - Both desexed & microchipped,Whippet,White,M,Y,NORTH HAVEN
Chilli,Standard - Both desexed & microchipped,Pug,Fawn,F,Y,NORTH HAVEN
Teddy,Non-Standard - Not desexed/microchipped,Pomeranian,Cream,M,N,NORTH HAVEN
Max,Standard - Both desexed & microchipped,German Shepherd Dog,Sable,M,Y,NORTH HAVEN
Jazzyl Grace,Non-Standard - Not desexed/microchipped,Maltese,White,F,N,NORTH HAVEN
Milo,Non-Standard - Not desexed/microchipped,Labrador Retriever,Chocolate,F,Y,NORTH HAVEN
Coco,Standard - Both desexed & microchipped,Labrador Retriever,Chocolate,F,Y,NORTH HAVEN
Billie,Standard - Both desexed & microchipped,Beagle,Tri Colour,F,Y,NORTH HAVEN
CARDI,Non-Standard - Not desexed/microchipped,Shih Tzu,Unknown,F,Y,NORTH HAVEN
Buddy,Non-Standard - Not desexed/microchipped,Belgian Shepherd Dog (Malinois),White,M,N,NORTH HAVEN
Tilly,Standard - Both desexed & microchipped,Border Collie,White,F,Y,NORTH HAVEN
Hunny,Standard - Both desexed & microchipped,Jack Russell Terrier,White,F,Y,NORTH HAVEN
Bushka,Standard - Pension,Labrador Retriever,White,F,Y,NORTH HAVEN
Benji,Standard - Pension,Pug,Tan,M,Y,NORTH HAVEN
Bugsy,Non-Standard - Not desexed/microchipped,Basenji,Tan,M,N,NORTH HAVEN
Razza,Non-Standard - Concession,Pomeranian,Tan,F,N,NORTH HAVEN
Trudi,Non-Standard - Concession,Tibetan Spaniel,Beige,F,N,NORTH HAVEN
Chewi,Standard - Both desexed & microchipped,Maltese,Tan,M,Y,NORTH HAVEN
Burger,Non-Standard - Not desexed/microchipped,Australian Kelpie,Brown,F,Y,NORTH HAVEN
Pip,Standard - Both desexed & microchipped,Whippet,Brindle,M,Y,NORTH HAVEN
Bailey,Non-Standard - Not desexed/microchipped,Cavalier King Charles Spaniel,Cream,M,Y,NORTH HAVEN
Jack,Non-Standard - Pension,Rottweiler,Black,M,Y,NORTH HAVEN
Meeka,Standard - Both desexed & microchipped,Akita,Brown,F,Y,NORTH HAVEN
Jack,Non-Standard - Pension,Chihuahua,Tan,M,N,NORTH HAVEN
Quin,Standard - Pension,Rhodesian Ridgeback,Wheaten,M,Y,NORTH HAVEN
Harry,Standard - Both desexed & microchipped,Poodle (Toy),Cream,M,Y,NORTH HAVEN
Matty,Non-Standard - Pension,Maltese,White,M,N,NORTH HAVEN
Koko,Standard - Both desexed & microchipped,Schnauzer (Miniature),Black,F,Y,NORTH HAVEN
Max,Non-Standard - Not desexed/microchipped,Labrador Retriever,Blonde,M,N,NORTH HAVEN
Missy,Standard - Both desexed & microchipped,Australian Kelpie,Brown,F,Y,NORTH HAVEN
Stella,Non-Standard - Not desexed/microchipped,German Shepherd Dog,Black,F,Y,NORTH HAVEN
Shadow,Standard - Both desexed & microchipped,Labrador Retriever,Black,F,Y,NORTH HAVEN
Sawyer,Non-Standard - Not desexed/microchipped,Poodle (Standard),Apricot,M,N,NORTH HAVEN
Bosco,Non-Standard - Not desexed/microchipped,Poodle (Standard),Black,M,N,NORTH HAVEN
Molly Ensor,Standard - Both desexed & microchipped,Maltese,Black,F,Y,NORTH HAVEN
Rusty,Standard - Both desexed & microchipped,Pug,Tan,M,Y,NORTH HAVEN
Jax,Standard - Both desexed & microchipped,Maltese,White,M,Y,NORTH HAVEN
Tank,Standard - Both desexed & microchipped,Maltese,White,M,Y,NORTH HAVEN
Leo,Standard - Both desexed & microchipped,Maltese,Brown,M,Y,NORTH HAVEN
Perry,Standard - Both desexed & microchipped,Australian Kelpie,Chocolate,M,Y,NORTH HAVEN
Bear,Standard - Pension,Maltese,White,M,Y,NORTH HAVEN
Rusty,Standard - Pension,Terrier,Unknown,M,Y,NORTH HAVEN
Kani,Standard - Both desexed & microchipped,German Shepherd Dog,Tan,F,Y,NORTH HAVEN
Monty,Standard - Both desexed & microchipped,Bichon Frise,White,M,Y,NORTH HAVEN
Dizzy,Standard - Both desexed & microchipped,Labrador Retriever,Black,F,Y,NORTH HAVEN
Ruto,Non-Standard - Not desexed/microchipped,German Shepherd Dog,Black,F,Y,NORTH HAVEN
Oscar,Standard - Pension,Maltese,Cream,M,Y,NORTH HAVEN
Maple,Standard - Both desexed & microchipped,Cocker Spaniel,Gold,M,Y,NORTH HAVEN
Gatsby,Standard - Concession,Whippet,Fawn,M,Y,NORTH HAVEN
Bailey,Standard - Both desexed & microchipped,German Shorthaired Pointer,Liver,M,Y,NORTH HAVEN
Jett,Standard - Both desexed & microchipped,Poodle (Toy),Grey,M,Y,NORTH HAVEN
Tyler,Standard - Concession,Maltese,White,M,Y,NORTH HAVEN
McKenna,Standard - Both desexed & microchipped,Shepherd,Tan,F,Y,NORTH HAVEN
Mardi,Standard - Both desexed & microchipped,Cocker Spaniel,Black,M,Y,NORTH HAVEN
Koko,Non-Standard - Pension,Poodle (Toy),Black,M,N,NORTH HAVEN
Tilly,Non-Standard - Not desexed/microchipped,Golden Retriever,Gold,F,N,NORTH HAVEN
Angel,Non-Standard - Not desexed/microchipped,Maltese,Brown,F,N,NORTH HAVEN
Bundy,Non-Standard - Pension,Australian Kelpie,Brown,M,Y,NORTH HAVEN
Maggie,Non-Standard - Not desexed/microchipped,Maltese,White,F,Y,NORTH HAVEN
Ally,Non-Standard - Not desexed/microchipped,Maltese,White,F,Y,NORTH HAVEN
Lacey,Non-Standard - Not desexed/microchipped,Labrador Retriever,Gold,F,Y,NORTH HAVEN
Jess,Standard - Pension,Australian Cattle Dog,Blue,F,Y,NORTH HAVEN
Pepper,Standard - Both desexed & microchipped,Cavalier King Charles Spaniel,Tri Colour,F,Y,NORTH HAVEN
Macca,Non-Standard - Not desexed/microchipped,Jack Russell Terrier,Tri Colour,M,N,NORTH HAVEN
Charlie,Standard - Both desexed & microchipped,Maltese,White,M,Y,NORTH HAVEN
Missy,Standard - Concession,Terrier,Black,F,Y,NORTH HAVEN
Duke,Non-Standard - Not desexed/microchipped,Maltese,Brown,M,N,NORTH HAVEN
Charlie,Standard - Both desexed & microchipped,Cavalier King Charles Spaniel,Blenheim,M,Y,NORTH HAVEN
Rusty,Standard - Both desexed & microchipped,Cavalier King Charles Spaniel,Ruby,M,Y,NORTH HAVEN
Rani,Standard - Both desexed & microchipped,Cavalier King Charles Spaniel,Black,F,Y,NORTH HAVEN
Bella,Standard - Both desexed & microchipped,Staffordshire Bull Terrier,Black,F,Y,NORTH HAVEN
Koba,Standard - Concession,German Shepherd Dog,Tan,F,Y,NORTH HAVEN
Corneliius,AWL/RSPCA 1st Free,British Bulldog,Black,M,Y,NORTH HAVEN
Finn,Standard - Both desexed & microchipped,Australian Kelpie,Black,M,Y,NORTH HAVEN
Maddie,Standard - Both desexed & microchipped,Spaniel,Gold,F,Y,NORTH HAVEN
Millie,Standard - Both desexed & microchipped,Staffordshire Bull Terrier,Tan,F,Y,NORTH HAVEN
